path,category,reason,risk,size,ref_count,last_commit,recommendation,source
stable_ai_server_simple.py,duplicate,Duplicate of stable_ai_server.py (hash: 70255abc),LOW,7860,0,7810265e,QUARANTINE,primary
stillme_core\config\content_filter_rules.json,duplicate,Duplicate of config\content_filter_rules.json (hash: db529728),LOW,1015,0,unknown,QUARANTINE,primary
mobile_app_simple\mobile_app_simple\pubspec.yaml,duplicate,Duplicate of mobile_app\pubspec.yaml (hash: 226b5b33),LOW,1595,0,unknown,QUARANTINE,primary
mobile_app_simple\assets\app_config.json,duplicate,Duplicate of mobile_app\assets\config\app_config.json (hash: 8b9d1813),LOW,795,0,unknown,QUARANTINE,primary
mobile_app_simple\mobile_app_simple\assets\config\app_config.json,duplicate,Duplicate of mobile_app\assets\config\app_config.json (hash: 8b9d1813),LOW,795,0,unknown,QUARANTINE,primary
mobile_app_simple\analysis_options.yaml,duplicate,Duplicate of mobile_app_new\analysis_options.yaml (hash: b63207cf),LOW,1448,0,unknown,QUARANTINE,primary
mobile_app_simple\android\gradlew.bat,duplicate,Duplicate of mobile_app_new\android\gradlew.bat (hash: c13c6e91),LOW,2404,0,unknown,QUARANTINE,primary
mobile_app_simple\ios\Flutter\ephemeral\flutter_lldb_helper.py,duplicate,Duplicate of mobile_app_new\ios\Flutter\ephemeral\flutter_lldb_helper.py (hash: 05cfe397),LOW,1276,0,unknown,QUARANTINE,primary
mobile_app_simple\ios\Runner\AppDelegate.swift,duplicate,Duplicate of mobile_app_new\ios\Runner\AppDelegate.swift (hash: 13e99dab),LOW,404,0,795ffb24,QUARANTINE,primary
mobile_app_simple\ios\Runner\GeneratedPluginRegistrant.h,duplicate,Duplicate of mobile_app_new\ios\Runner\GeneratedPluginRegistrant.h (hash: a5f88cc6),LOW,378,0,unknown,QUARANTINE,primary
mobile_app_simple\ios\Runner\Runner-Bridging-Header.h,duplicate,Duplicate of mobile_app_new\ios\Runner\Runner-Bridging-Header.h (hash: efe657d8),LOW,39,0,795ffb24,QUARANTINE,primary
mobile_app_simple\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json,duplicate,Duplicate of mobile_app_new\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json (hash: 5f8b941b),LOW,2641,0,unknown,QUARANTINE,primary
mobile_app_simple\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json,duplicate,Duplicate of mobile_app_new\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json (hash: fbd112a9),LOW,414,0,unknown,QUARANTINE,primary
mobile_app_simple\ios\RunnerTests\RunnerTests.swift,duplicate,Duplicate of mobile_app_new\ios\RunnerTests\RunnerTests.swift (hash: c0e04141),LOW,297,0,795ffb24,QUARANTINE,primary
mobile_app_simple\linux\flutter\generated_plugin_registrant.h,duplicate,Duplicate of mobile_app_new\linux\flutter\generated_plugin_registrant.h (hash: 00f93bb5),LOW,303,0,795ffb24,QUARANTINE,primary
mobile_app_simple\linux\runner\my_application.h,duplicate,Duplicate of mobile_app_new\linux\runner\my_application.h (hash: b9be2b58),LOW,406,0,795ffb24,QUARANTINE,primary
mobile_app_simple\macos\Runner\AppDelegate.swift,duplicate,Duplicate of mobile_app_new\macos\Runner\AppDelegate.swift (hash: 5b9cbdcb),LOW,324,0,795ffb24,QUARANTINE,primary
mobile_app_simple\macos\Runner\MainFlutterWindow.swift,duplicate,Duplicate of mobile_app_new\macos\Runner\MainFlutterWindow.swift (hash: 8178ad75),LOW,403,0,795ffb24,QUARANTINE,primary
mobile_app_simple\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json,duplicate,Duplicate of mobile_app_new\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json (hash: 992ba63d),LOW,1359,0,unknown,QUARANTINE,primary
mobile_app_simple\macos\RunnerTests\RunnerTests.swift,duplicate,Duplicate of mobile_app_new\macos\RunnerTests\RunnerTests.swift (hash: 8a0ff977),LOW,302,0,795ffb24,QUARANTINE,primary
mobile_app_simple\windows\flutter\generated_plugin_registrant.h,duplicate,Duplicate of mobile_app_new\windows\flutter\generated_plugin_registrant.h (hash: dbc11635),LOW,302,0,795ffb24,QUARANTINE,primary
mobile_app_simple\windows\runner\flutter_window.cpp,duplicate,Duplicate of mobile_app_new\windows\runner\flutter_window.cpp (hash: d615eedc),LOW,2193,0,795ffb24,QUARANTINE,primary
mobile_app_simple\windows\runner\flutter_window.h,duplicate,Duplicate of mobile_app_new\windows\runner\flutter_window.h (hash: 0252b804),LOW,961,0,795ffb24,QUARANTINE,primary
mobile_app_simple\windows\runner\resource.h,duplicate,Duplicate of mobile_app_new\windows\runner\resource.h (hash: d0e8bf78),LOW,448,0,795ffb24,QUARANTINE,primary
mobile_app_simple\windows\runner\utils.cpp,duplicate,Duplicate of mobile_app_new\windows\runner\utils.cpp (hash: fbb18524),LOW,1862,0,795ffb24,QUARANTINE,primary
mobile_app_simple\windows\runner\utils.h,duplicate,Duplicate of mobile_app_new\windows\runner\utils.h (hash: 832e246b),LOW,691,0,795ffb24,QUARANTINE,primary
mobile_app_simple\windows\runner\win32_window.cpp,duplicate,Duplicate of mobile_app_new\windows\runner\win32_window.cpp (hash: 4e4f4dcf),LOW,8822,0,795ffb24,QUARANTINE,primary
mobile_app_simple\windows\runner\win32_window.h,duplicate,Duplicate of mobile_app_new\windows\runner\win32_window.h (hash: d154cf89),LOW,3624,0,795ffb24,QUARANTINE,primary
stillme_core\adapters\__init__.py,duplicate,Duplicate of oi_adapter\__init__.py (hash: e3b0c442),LOW,0,0,dde1d77f,QUARANTINE,primary
stillme_ethical_core\__init__.py,duplicate,Duplicate of oi_adapter\__init__.py (hash: e3b0c442),LOW,0,0,f814bff5,QUARANTINE,primary
stillme_core\modules\api_provider_manager_simple.py,duplicate,Duplicate of stillme_core\modules\api_provider_manager.py (hash: 009d15c9),LOW,10397,0,7810265e,QUARANTINE,primary
stillme_core\modules\layered_memory_v1_simple.py,duplicate,Duplicate of stillme_core\modules\layered_memory_v1.py (hash: 959289f6),LOW,10928,0,7810265e,QUARANTINE,primary
stillme_platform\gateway\__init__.py,unreferenced,No references found (ref_count: 0),MEDIUM,27,0,35cce8b7,REVIEW,primary
stillme_platform\gateway\api\__init__.py,unreferenced,No references found (ref_count: 0),MEDIUM,33,0,35cce8b7,REVIEW,primary
stillme_platform\gateway\api\routes\auth.py,unreferenced,No references found (ref_count: 0),MEDIUM,4165,0,065c05c8,REVIEW,primary
stillme_platform\gateway\api\routes\devices.py,unreferenced,No references found (ref_count: 0),MEDIUM,5161,0,065c05c8,REVIEW,primary
stillme_platform\gateway\api\routes\health.py,unreferenced,No references found (ref_count: 0),MEDIUM,3090,0,065c05c8,REVIEW,primary
stillme_platform\gateway\api\routes\messages.py,unreferenced,No references found (ref_count: 0),MEDIUM,3583,0,065c05c8,REVIEW,primary
stillme_platform\gateway\api\routes\__init__.py,unreferenced,No references found (ref_count: 0),MEDIUM,40,0,35cce8b7,REVIEW,primary
stillme_platform\gateway\core\auth.py,unreferenced,No references found (ref_count: 0),MEDIUM,3494,0,065c05c8,REVIEW,primary
stillme_platform\gateway\core\config.py,unreferenced,No references found (ref_count: 0),MEDIUM,2771,0,065c05c8,REVIEW,primary
stillme_platform\gateway\core\message_protocol.py,unreferenced,No references found (ref_count: 0),MEDIUM,9802,0,065c05c8,REVIEW,primary
stillme_platform\gateway\core\redis_client.py,unreferenced,No references found (ref_count: 0),MEDIUM,8584,0,065c05c8,REVIEW,primary
stillme_platform\gateway\core\websocket_manager.py,unreferenced,No references found (ref_count: 0),MEDIUM,10520,0,065c05c8,REVIEW,primary
stillme_platform\gateway\services\email_notifier.py,unreferenced,No references found (ref_count: 0),MEDIUM,19329,0,795ffb24,REVIEW,primary
stillme_platform\gateway\services\notification_manager.py,unreferenced,No references found (ref_count: 0),MEDIUM,21941,0,795ffb24,REVIEW,primary
stillme_platform\gateway\services\notification_service.py,unreferenced,No references found (ref_count: 0),MEDIUM,6264,0,065c05c8,REVIEW,primary
stillme_platform\gateway\services\oauth2_email_notifier.py,unreferenced,No references found (ref_count: 0),MEDIUM,5279,0,795ffb24,REVIEW,primary
stillme_platform\gateway\services\stillme_integration.py,unreferenced,No references found (ref_count: 0),MEDIUM,9643,0,065c05c8,REVIEW,primary
stillme_platform\mobile\App.tsx,unreferenced,No references found (ref_count: 0),MEDIUM,4728,0,35cce8b7,REVIEW,primary
stillme_platform\mobile\android\gradlew.bat,unreferenced,No references found (ref_count: 0),MEDIUM,2805,0,35cce8b7,REVIEW,primary
stillme_platform\mobile\android\app\src\main\java\com\stillmemobile\MainActivity.java,unreferenced,No references found (ref_count: 0),MEDIUM,1137,0,35cce8b7,REVIEW,primary
stillme_platform\mobile\android\app\src\main\java\com\stillmemobile\MainApplication.java,unreferenced,No references found (ref_count: 0),MEDIUM,2290,0,35cce8b7,REVIEW,primary
stillme_platform\mobile\src\hooks\redux.ts,unreferenced,No references found (ref_count: 0),MEDIUM,396,0,35cce8b7,REVIEW,primary
stillme_platform\mobile\src\screens\AuthScreen.tsx,unreferenced,No references found (ref_count: 0),MEDIUM,6878,0,35cce8b7,REVIEW,primary
stillme_platform\mobile\src\screens\ChatScreen.tsx,unreferenced,No references found (ref_count: 0),MEDIUM,9167,0,35cce8b7,REVIEW,primary
stillme_platform\mobile\src\screens\SettingsScreen.tsx,unreferenced,No references found (ref_count: 0),MEDIUM,11356,0,35cce8b7,REVIEW,primary
stillme_platform\mobile\src\screens\SplashScreen.tsx,unreferenced,No references found (ref_count: 0),MEDIUM,1313,0,35cce8b7,REVIEW,primary
stillme_platform\mobile\src\services\biometric.ts,unreferenced,No references found (ref_count: 0),MEDIUM,9544,0,35cce8b7,REVIEW,primary
stillme_platform\mobile\src\services\notifications.ts,unreferenced,No references found (ref_count: 0),MEDIUM,10926,0,35cce8b7,REVIEW,primary
stillme_platform\mobile\src\services\storage.ts,unreferenced,No references found (ref_count: 0),MEDIUM,13171,0,35cce8b7,REVIEW,primary
stillme_platform\mobile\src\services\websocket.ts,unreferenced,No references found (ref_count: 0),MEDIUM,8086,0,35cce8b7,REVIEW,primary
stillme_platform\mobile\src\store\store.ts,unreferenced,No references found (ref_count: 0),MEDIUM,1415,0,35cce8b7,REVIEW,primary
stillme_platform\mobile\src\store\slices\appSlice.ts,unreferenced,No references found (ref_count: 0),MEDIUM,1814,0,35cce8b7,REVIEW,primary
stillme_platform\mobile\src\store\slices\authSlice.ts,unreferenced,No references found (ref_count: 0),MEDIUM,2442,0,35cce8b7,REVIEW,primary
stillme_platform\mobile\src\store\slices\chatSlice.ts,unreferenced,No references found (ref_count: 0),MEDIUM,2666,0,35cce8b7,REVIEW,primary
stillme_platform\mobile\src\store\slices\notificationSlice.ts,unreferenced,No references found (ref_count: 0),MEDIUM,3603,0,35cce8b7,REVIEW,primary
stillme_platform\mobile\src\store\slices\settingsSlice.ts,unreferenced,No references found (ref_count: 0),MEDIUM,3204,0,35cce8b7,REVIEW,primary
stillme_platform\mobile\src\theme\theme.ts,unreferenced,No references found (ref_count: 0),MEDIUM,1956,0,35cce8b7,REVIEW,primary
stillme_platform\mobile\src\types\navigation.ts,unreferenced,No references found (ref_count: 0),MEDIUM,422,0,35cce8b7,REVIEW,primary
stillme_platform\shared\types.ts,unreferenced,No references found (ref_count: 0),MEDIUM,6838,0,35cce8b7,REVIEW,primary
stillme_platform\shared\websocket-client.ts,unreferenced,No references found (ref_count: 0),MEDIUM,7837,0,35cce8b7,REVIEW,primary
stillme_platform\StillMeSimple\App.tsx,unreferenced,No references found (ref_count: 0),MEDIUM,20861,0,unknown,REVIEW,primary
stillme_platform\StillMeSimple\babel.config.js,unreferenced,No references found (ref_count: 0),MEDIUM,77,0,unknown,REVIEW,primary
stillme_platform\StillMeSimple\metro.config.js,unreferenced,No references found (ref_count: 0),MEDIUM,302,0,unknown,REVIEW,primary
stillme_platform\StillMeSimple\android\gradlew.bat,unreferenced,No references found (ref_count: 0),MEDIUM,2868,0,unknown,REVIEW,primary
stillme_platform\StillMeSimple\android\app\src\debug\java\com\stillmesimple\ReactNativeFlipper.java,unreferenced,No references found (ref_count: 0),MEDIUM,3379,0,unknown,REVIEW,primary
stillme_platform\StillMeSimple\android\app\src\main\java\com\stillmesimple\MainActivity.java,unreferenced,No references found (ref_count: 0),MEDIUM,1105,0,unknown,REVIEW,primary
stillme_platform\StillMeSimple\android\app\src\main\java\com\stillmesimple\MainApplication.java,unreferenced,No references found (ref_count: 0),MEDIUM,1977,0,unknown,REVIEW,primary
stillme_platform\StillMeSimple\android\app\src\release\java\com\stillmesimple\ReactNativeFlipper.java,unreferenced,No references found (ref_count: 0),MEDIUM,683,0,unknown,REVIEW,primary
stillme_platform\StillMeSimple\ios\StillMeSimple\AppDelegate.h,unreferenced,No references found (ref_count: 0),MEDIUM,98,0,unknown,REVIEW,primary
stillme_platform\StillMeSimple\__tests__\App.test.tsx,unreferenced,No references found (ref_count: 0),LOW,363,0,unknown,QUARANTINE,primary
test\test_manager.py,unreferenced,No references found (ref_count: 0),LOW,1226,0,065c05c8,QUARANTINE,primary
tests\conftest.py,unreferenced,No references found (ref_count: 0),MEDIUM,11520,0,065c05c8,REVIEW,primary
tests\test_advanced_agentdev.py,unreferenced,No references found (ref_count: 0),LOW,29305,0,065c05c8,QUARANTINE,primary
tests\test_agentdev_basic.py,unreferenced,No references found (ref_count: 0),LOW,2084,0,065c05c8,QUARANTINE,primary
tests\test_agentdev_direct.py,unreferenced,No references found (ref_count: 0),LOW,1020,0,065c05c8,QUARANTINE,primary
tests\test_agentdev_loop.py,unreferenced,No references found (ref_count: 0),LOW,5460,0,065c05c8,QUARANTINE,primary
tests\test_agentdev_minimal.py,unreferenced,No references found (ref_count: 0),LOW,1206,0,065c05c8,QUARANTINE,primary
